Title,Author,Year
INTERROGATING DEVELOPMENT: Discourses on Development in India Today,Biswajit Ghosh (ed.),2012
MICHEL FOUCAULT: Key Concepts,Dianna Taylor (ed.),2012
PIERRE BOURDIEU: Key Concepts,Michael Grenfell (ed.),2012
UNDERSTANDING POSTSTRUCTURALISM ,James Williams,2012
UNDERSTANDING FEMINISM ,Peta Bowden and Jane Mummery,2012
UNDERSTANDING POSTCOLONIALISM ,Jane Hiddleston,2012
SOCIAL CHANGE AND DEVELOPMENT ,D.V. Kumar (Ed.),2012
SOCIOLOGY OF RELIGION (Fifth Edition),Meredith B. McGuire,2012
THEODOR ADORNO: Key Concepts,Deborah Cook (ed.),2012
VULNERABILITY AND GLOBALISATION Perspectives and Analyses from India,N. Jayaram and D. Rajasekhar (eds.),2012
AUDOYOGIK SAMAJSHASTRA (Industrial Sociology) (Hindi) ,Viswanath Jha,2012
AUDOYOGIK SAMAJSHASTRA (Industrial Sociology) (Hindi) ,Viswanath Jha,2012
SOCIOLOGICAL WRITINGS ,Wolf Heydebrand (Ed),2012
THE SHORT GUIDE TO COMMUNITY DEVELOPMENT ,Alison Gilchrist and Marilyn Taylor,2012
GLOBALIZATION: The Reader,John Beynon and David Dunkerley (eds),2012
"MODERNIZATION, GLOBALIZATION AND SOCIAL TRANSFORMATION ",0
"MALE IMAGE, FEMALE GAZE: Men in Shashi Deshpande",0
BUREAUCRACY AND POLITICS ,Mohammed Ali Rafath,2012
"GLOBALIZATION, GROWTH AND EMPLOYMENT: Challenges and Opportunities",0
"GENDER, SOCIAL CHANGE AND THE MEDIA ",0
SOCIETY AND CULTURE: S.P. NAGENDRA,C. Lakshmanna and Jugendra Sahai (Eds.),2012
MASTERS OF SOCIOLOGICAL THOUGHT: Ideas in Historical and Social Context,Lewis A. Coser,2012
MASTERS OF SOCIOLOGICAL THOUGHT: Ideas in Historical and Social Context,Lewis A. Coser,2012
PERSPECTIVES ON SOCIAL DEVELOPMENT ,Richard Pais (Ed.),2012
CHANGING WORLDS CHANGING NATIONS: The Concept of Nation in the Transnational Era,Joel Kuortti and Om Prakash Dwivedi (Eds.),2012
HUMAN DEVELOPMENT STRATEGY OF MGNREGA ,John Joseph Puthenkalam and M.K. George,2012
CHANGING VILLAGE INDIA,Brij Raj Chauhan and A. Satyanarayana (Eds),2012
"GLOBALISATION, DEVELOPMENT AND CULTURE",0
SOCIOLOGY AND BEYOND: Windows and Horizons,Ananta Kumar Giri,2012
BIO-CULTURAL DEVELOPMENT OF SCHEDULED TRIBES: Policies and Issues,"P.K. Misra,0
GLOBALIZATION AND SOCIAL CHANGE,Ellina Samantroy and Indu Upadhyay,2012
PRACTICING SOCIOLOGY: Selected Fields,Robert A. Dentler,2012
WHAT IS CULTURAL STUDIES: A Reader,John Storey (ed.),2012
"THE INEQUALITY READER: Contemporary and Foundational Readings in RACE, CLASS,0
ESSENTIAL STATISTICS FOR SOCIAL RESEARCH (Revised and Updated - Second Edition),Michael A. Malec,2012
CASTE AND CLASS IN INDIA,K.L. Sharma (Ed.),2012
WOMENS LIBERATION: The Arya Samaj Movement in India,Sangeeta Sharma,2011
PATTERNS IN PHILOSOPHY AND SOCIOLOGY OF RELIGIONS ,Mihaela Gligor and Sherry Sabbarwal (Eds),2011
AGEING: An Interdisciplinary Approach,Sarjoo Patel and Veena Gandotra (Eds),2011
SOCIOLOGICAL THEORY  (5th edition),George Ritzer,2011
URBAN SOCIOLOGY: Images & Structure (Fifth Edition),William G. Flanagan,2011
APPLYING SOCIAL STATISTICS: An Introduction to Quantitative Reasoning in Sociology,Jay Alan Weinstein,2011
MAKING SENSE OF SOCIAL THEORY: A Practical Introduction (2nd Edition),Charles H. Powers,2011
SOCIAL CHANGE (3rd edition),Jay Weinstein,2011
CHANGING INDIAN SOCIETY,Yogesh Atal,2011
RURAL DEVELOPMENT: Concept and Recent Approaches ,A. Thomas William and A.J. Christopher,2011
ATROCITIES AGAINST SCHEDULED CASTES AND SCHEDULED TRIBES ,G.S. Narwani,2011
GANDHI'S VISION OF SOCIAL TRANSFORMATION ,Malabika Pande,2011
"POLLUTION, UNTOUCHABILITY AND HARIJANS ",0
FICTION AND SOCIETY: Narrativisation of Realities in the Novels of Shashi Deshpande and Githa Hariharan,Sarita Prabhakar,2011
"POPULATION, GENDER AND REPRODUCTIVE HEALTH ",0
"WOMEN, RELIGION AND TRADITION: The Cult of Jogins,0
"GLOBALIZATION, CONSUMER CULTURE AND IDENTITY: The Middle Class in a Postmodern Society",0
"HEALTH, CULTURE AND SOCIETY ",0
"CULTURE, STRATIFICATION AND DEVELOPMENT ",0
BACKWARD CLASSES AND SOCIAL JUSTICE ,MH Makwana and Richard Pais (Eds.),2011
VALUE EDUCATION AND SOCIAL TRANSFORMATION ,Naina Sharma (Ed.),2011
LAW FOR WATER MANAGEMENT: A Guide to Concepts and Effective Approaches,"Jessica Vapnek,0
SOCIAL TRANSFORMATION AND DEVELOPMENT: In the Context of Globalization,Bhimasen Hantal,2011
GLOBALIZATION AND GROWTH: Implications for a Post-Crisis World,Michael Spence | Danny Leipziger (Eds.),2011
EDUCATION AND TEACHER PROFESSIONALISM ,Sthabir Khora,2011
"ADIVASI BHARAT : EK SAMAJIK, SANSKRITIK AIVAM VIKASATMAK VIVECHAN (Hindi) : Tribal India: Social,0
SOCIAL THEORY ,Paul Ransome,2011
AN INTRODUCTION TO ANTHROPOLOGICAL THEORIES AND THEORISTS (3rd edition),Jerry D. Moore,2011
BHARTIYA RAJNITI MEIN KSHETRIYA DAL (Regional Party in Indian Politics) (Hindi) ,Ratnesh Kumar Misra,2011
INSTRUMENTS OF SOCIAL RESEARCH ,Jaspal Singh,2011
AGEISM AND ELDER ABUSE ,Lynn McDonald and K.L. Sharma (Eds.),2011
"VIOLENCE IN MEDIA AND SOCIETY: Literature, Film and TV",0
"KASHMIR: CONTESTED IDENTITY: Closed Systems, Open Choices",0
DISTRESS MIGRATION AND LEFT BEHIND WOMEN A Study of Rural Bihar,Archana K. Roy,2011
CONTEMPORARY FEMINIST THEORIES ,Stevi Jackson and Jackie Jones (Eds.),2011
SOCIAL WORK AND SOCIAL WORK EDUCATION ,M.S. Gore,2011
GLOBALIZATION AND GENDER ,Sumita Sarkar and Manjari Srivastava (Eds),2011
MAHILA AARAKSHAN AIVAM BHARTIYA SAMAJ (Women Reservation and Indian Society) (Hindi) ,Harimohan Dhavan and Arun Kumar,2011
THE GLOBALIZATION TURBULENCE: Emerging Tensions in Indian Society,Prashant Kumar Trivedi (Ed.),2011
POLITICAL SOCIOLOGY: A Critical Introduction,Keith Faulks,2011
GLOBAL SOCIAL MOVEMENTS ,Robin Cohen and Shirin M. Rai,2011
WHAT IS THEORY?: Cultural Theory as Discourse and Dialogue,Peter V. Zima,2011
AN INTRODUCTION TO APPLYING SOCIAL WORK THEORIES AND METHODS ,Barbra Teater,2011
GENDER AND DEVELOPMENT IN INDIA: Current Issues,U. Kalpagam,2011
DESIGNS OF SOCIAL RESEARCH,D.K. Lal Das,2011
UNTOUCHABLES CASTES IN INDIA: The Raigar Movement (1940-2004),Shyamlal,2010
SOCIOLOGY: Basic Concepts,H.K. Rawat,2010
"RELIGIOUS SECTS AND SOCIAL DEVELOPMENT: A Comparative Study of Jains, Christians and Sikhs",0
STATE AND GLOBALIZATION ,Roop Singh Bareth and Damyanti Gupta (Eds.),2010
RETHINKING RELIGION ,Soumyajit Patra (Ed.),2010
AGEING AND HEALTH IN INDIA ,C. Shanthi Johnson and S. Irudaya Rajan (Eds.),2010
SOCIAL POLICY: Themes and Approaches,Paul Spicker,2010
THE ANTHROPOLOGY OF GLOBALIZATION: Cultural Anthropology Enters the 21st Century,Ted C. Lewellen,2010
"DEBATING NEW SOCIAL MOVEMENTS: Culture, Identity,0
"HUMAN DEVELOPMENT, WELL-BEING & GLOBALIZATION ",0
"CULT, RELIGION AND SOCIETY: Polyandrous People of Western Himalaya",0
STUDIES IN SOCIAL PROTEST ,Shyamlal,2010
GLOBALIZATION AND CHANGE: Perspectives from Punjab (Essays in Honour of Prof. S.S. Gill),"Ranjit Singh Ghuman,0
URBANIZATION AND GROWTH: Commission on Growth and Development,"Michael Spence,0
"THEORIES OF DEVELOPMENT: Contentions, Argument,0
HIV AND AIDS IN SOUTH ASIA: An Economic Development Risk,The World Bank,2010
JATI VYAVASTHA (Caste System) (Hindi) ,Sunil Kumar Singh,2010
GLOBALIZATION AND HUMANITY ,Samir Dasgupta,2010
SOCIOLOGY IN INDIA: Intellectual and Institutional Practices,Maitrayee Chaudhuri (Ed.),2010
I. P. DESAI: A Pioneering Indian Sociologist,Ragini P. Shah,2010
GRAM PANCHAYAT LEADERSHIP: The Grassroots Realities of Select Districts of Madhya Pradesh,Nalini Rewadikar,2010
SOCIOLOGY OF DEVELOPMENT ,Sheobahal Singh,2010
CHANGING DALITS: Exploration Across Time,Paramjit S. Judge,2010
"SOCIAL EXCLUSION, INTEGRATION AND INCLUSIVE POLICIES ",0
MANAGING QUALITY IN HEALTH CARE ,P.R. Sodani,2010
POSTMODERNISM AND GANDHI ,Upasana Pandey,2010
TRIBAL ECONOMY AT CROSSROADS ,S.N. Chaudhary (Ed.),2010
KOREAN LEISURE: From Tradition to Modernity,Erwei Dong and Jouyeon Yi-Kook (Eds.),2010
ADIVASI VIKAS AIVAM GAIR-SARKARI SANGATHAN (Tribal Development and NGOs) (Hindi) ,Udai Singh Rajput,2010
GLOBALIZATION: Key Ideas ,Malcolm Waters,2010
AN INTRODUCTION TO SUSTAINABLE DEVELOPMENT  (Third Edition),Jennifer A. Elliott ,2010
LITERATURE AND GLOBALIZATION: A Reader,Liam Connell and Nicky Marsh (Eds.),2010
SOCIOLOGY: Basic Concepts,H.K. Rawat,2010
ADHUNIKTA AIVAM NARI SASHAKTIKARAN (Modernization and Women),V.N. Singh and Janmejya Singh,2010
PERSPECTIVES ON SOCIAL STRATIFICATION ,K.L. Sharma,2010
PERSPECTIVES ON SOCIAL STRATIFICATION ,K.L. Sharma,2010
SOCIOLOGY OF DEVELOPMENT ,Sheobahal Singh,2010
SOCIOLOGY IN INDIA: Intellectual and Institutional Practices,Maitrayee Chaudhuri (Ed.),2010
THEMES IN SOCIAL STRATIFICATION AND MOBILITY: Essays in Honour of Prof K.L. Sharma,"Ishwar Modi,0
INFORMAL SECTOR IN INDIAN ECONOMY: The Way Ahead,Dipa Mukherjee,2009
"GENDER, SOCIAL STRUCTURE AND EMPOWERMENT: Status Report of Women in India",0
KEY ISSUES IN CRITICAL & CULTURAL THEORY ,Kate McGowan,2009
SOCIAL EXCLUSION (2nd Edition) ,David Byrne,2009
PERSPECTIVES ON ECONOMIC DEVELOPMENT AND SOCIAL CHANGE: Essays in Honour of Professor K.S. Chalam,Yagati Chinna Rao (Ed.),2009
DEVELOPMENT ISSUES ,P. Vijayalakshmi Reddy (Ed.),2009
"PANCHAYATI RAJ, PARTICIPATION AND DECENTRALIZATION ",0
DIVIDING DALITS: Writings on Sub-Categorisation of Scheduled Castes,Yagati Chinna Rao (Ed.),2009
GLOBALIZATION AND MARKET OUTCOMES: Strategic Evidences,V. Kurien Baby,2009
"UDARIKARAN, BHOOMANDLIKARAN AIVAM DALIT (Liberalization,0
RETHINKING RADICALISM IN INDIAN SOCIETY: Bhagat Singh and Beyond,"Jose George,0
THE DILEMMAS OF DEVELOPMENT WORK: Ethical Challenges in Regeneration,"Paul Hoggett,0
SOCIAL WORK: Making a Difference,Viviene Cree and Steve Myers,2009
MAKING SENSE OF SOCIAL MOVEMENTS ,Nick Crossley,2009
TRIBALS AND MODERN AGRICULTURE: Dynamics of Fertiliser Use in Madhya Pradesh,D.C. Sah,2009
THEORY & PRACTICE OF ETHNOGRAPHY: Readings from the Periphery,Eswarappa Kasi and Ramesh C. Malik (Eds.),2009
SOCIAL DIMENSIONS OF HEALTH,Ajit K. Dalal and Subha Ray (Eds.),2009
PANCHAYATI RAJ INSTITUTIONS AND RURAL DEVELOPMENT: Narratives on Inclusion of Excluded,B.C. Barik and U.C. Sahoo (Eds.),2009
"URBANIZATION, DISPLACEMENT AND REHABILITATION: A Study of People Affected by Land Acquisition ",0
DIMENSIONS OF AGEING: Indian Studies,K.L. Sharma (Ed.),2009
SOCIAL RESEARCH,Tim May,2009
SOCIAL WORK PRACTICE: Religio-Philosophical Foundations ,Chhaya Patel (Ed.),2009
URBAN COMMUNITY DEVELOPMENT (2nd Ed.) ,Jacob Z. Thudipara ,2008
TOWARDS SOCIAL DEVELOPMENT: C.D. Deshmukh Memorial Lectures,K.S. Bhat (Ed.),2008
REPRODUCTIVE HEALTH IN INDIA: New Evidence,"Michael A. Koenig,0
SELF-DEVELOPMENT AND SOCIAL TRANSFORMATIONS?: The Vision and Practice of the Self-Study Mobilization of Swadhyaya,Ananta Kumar Giri,2008
GENDER CONCERNS IN SOUTH ASIA: Some Perspectives,"Manjeet Bhatia,0
"VOLUNTARY SECTOR AND RURAL DEVELOPMENT: Concept, Practice and a New Approach to Remove Rural Poverty",0
RE-DEFINING FEMINISMS ,Ranjana Harish and V. Bharathi Harishankar (Eds.),2008
GANDHIAN PROTEST ,B. Arun Kumar,2008
INDIGENOUS SCIENCE & TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT ,V. Subramanyam (Ed.),2008
"POLITICISATION OF HINDU RELIGION IN POSTMODERN INDIA: An Anatomy of the Worldwides, Identities and Strategies of Hindu Nationalists in Bharatiya Janata Party",0
SOCIOLOGY OF ADOPTION ,Elfreeda Momin,2008
TRAPPED IN POVERTY: Chronic Poor in Remote Tribal Areas,D.C. Sah and Ashish Bhatt,2008
GOVERNANCE AND THE GOVERNOR ,V.S. Singh,2008
PANCHAYATI RAJ SYSTEM AND DEVELOPMENT PLANNING: The Case of Sikkim,Hariprasad Chhetri,2008
DOING SOCIAL RESEARCH ,Leonard Cargan ,2008
REGULATING GLOBALIZATION: Critical Approaches to Global Governance,Pierre de Senarclens and Ali Kazancigil (Eds.),2008
RECONSTRUCTING IDENTITIES: Society Through Literature,Paramjit S. Judge and Gurpreet Bal (Eds.),2008
INFRASTRUCTURE AND DEVELOPMENT IN INDIA: Interlinkages and Policy Issues,Rajarshi Majumder,2008
AMBEDKAR AND DALIT MOVEMENT: Special Reference to Rajasthan,Shyamlal,2008
ENTERING THE GLOBAL VILLAGE: Essays on the Sociology of Communication,Yogesh Atal,2008
CHALLENGES IN HUMAN RIGHTS: A Social Work Perspective,Elisabeth Reichert (Ed.),2008
"MANAGING CHANGE, ORGANISATIONAL BEHAVIOUR AND HRD ",0
EMERGING TRIBAL IDENTITY: A Study of Minas of Rajasthan,S.L. Sharma,2008
"AMBEDKAR ON LAW, CONSTITUTION AND SOCIAL JUSTICE ",0
DESIGNS OF SOCIAL RESEARCH ,D.K. Lal Das,2008
CHANGING INDIAN SOCIETY ,Yogesh Atal,2008
CHILD DEVELOPMENT ,Shyam Sunder Shrimali,2008
CHILD DEVELOPMENT ,Shyam Sunder Shrimali,2008
POSTMODERN PERSPECTIVES ON INDIAN SOCIETY ,S.L. Doshi,2008
POSTMODERN PERSPECTIVES ON INDIAN SOCIETY ,S.L. Doshi,2008
"AMBEDKAR IN RETROSPECT: Essays on Economics, Politics & Society",0
"POVERTY, SOCIAL CAPITAL AND NATURAL RESOURCE MANAGEMENT ",0
DISABILITY AND SOCIAL EXCLUSION IN RURAL INDIA ,Insa Klasing,2007
BEYOND HINDUTVA ,S.L. Verma,2007
LAWS FOR DALIT RIGHTS AND DIGNITY ,A. Ramaiah,2007
UNDERSTANDING THE POLICY PROCESS: Analysing Welfare Policy and Practice,John Hudson and Stuart Lowe,2007
HEALTH DYNAMICS AND MARGINALISED COMMUNITIES ,Mohammad Akram (Ed.),2007
CONSTRUCTING DALIT IDENTITY ,C. Joe Arun,2007
POVERTY AND FERTILITY IN INDIA: Demographic Field Theory Perspective,Shekhar Mukherji,2007
PEOPLE POWER: Fifty Peacemakers and Their Communities,Michael True,2007
SOCIOLOGY OF DIASPORA: A Reader ( 2 Vols Set),Ajaya Kumar Sahoo and Brij Maharaj (Eds.),2007
FEMALE INFANTICIDE AND CHILD MARRIAGE ,Sambodh Goswami,2007
ARAKSHAN NITI AUR SHIKSHAK (Reservation Policy and Teachers) (Hindi) ,Niraj Priya,2007
POPULATION AND ENVIRONMENT LINKAGES ,C.P. Prakasam and R.B. Bhagat (Eds.),2007
INFORMATION SOCIETY AND DEVELOPMENT: The Kerala Experience,Antony Palackal and Wesley Shrum (Eds.),2007
RESERVATION AND PRIVATE SECTOR: Quest for Equal Opportunity and Growth,"Sukhdeo Thorat,0
RESERVATION AND PRIVATE SECTOR: Quest for Equal Opportunity and Growth,"Sukhdeo Thorat,0
STUDIES IN GERONTOLOGY: Intergenerational Perspective ,K.L. Sharma (Ed.),2007
INDIAN SOCIAL STRUCTURE AND CHANGE ,K.L. Sharma,2007
INDIAN SOCIAL STRUCTURE AND CHANGE ,K.L. Sharma,2007
HISTORY OF EDUCATION IN INDIA,Suresh C. Ghosh,2007
WOMEN ON WOMEN: A Reading of Commonwealth Women Writers,"Amina Amin,0
CHILDLESS COUPLES: Social Consequences of Sterility and Infertility,Vinita Lavania,2006
COMMUNAL VIOLENCE AND MINORITIES: Gujarat Society in Ferment,Lancy Lobo and Biswaroop Das (Eds.),2006
NGOs IN INDIA: A Cross-Sectional Study,R. Sooryamoorthy and K.D. Gangrade,2006
"NEW HORIZONS OF SOCIAL THEORY: Conversations, Transformations and Beyond",0
THE SOCIOLOGY OF CULTURE ,Boris Erasov and Yogendra Singh,2006
PUBLIC DISTRIBUTION SYSTEM AND TRIBAL DEVELOPMENT: A Study of Western Tribal Belt of Madhya Pradesh,Manu Gautam,2006
"GLOBALIZATION FOR DEVELOPMENT: Trade, Finance,0
COMMUNITY DEVELOPMENT: A Critical Approach,Margaret Ledwith,2006
SOCIAL REALITY AND TRADITION: Essays in Modes of Understanding,Bijoy H. Boruah and Ramashanker Misra (Eds.),2006
CASTE IN CONTEMPORARY INDIA: Beyond Organic Solidarity ,Pauline Kolenda ,2006
DEVELOPMENT METHODS AND APPROACHES: Critical Reflections,Jo Rowlands,2006
DEVELOPMENT WITH WOMEN,Dorienne Rowan-Campbell,2006
DEBATING DEVELOPMENT: NGOs and the Future,Ernst Ligteringen,2006
"FAMILY LIFE EDUCATION IN INDIA: Perspectives, Challenges,0
DEVELOPMENT AND RIGHTS ,Firoze Manji,2006
INTERPRETING GLOBALISATION: Perspectives in International Relations,Rajen Harshe (Ed.),2005
"STATE, MARKET AND CIVIL SOCIETY: Issues and Interface",0
UNDERSTANDING INDIAN SOCIETY: The Non-Brahmanic Perspective,S.M. Dahiwale (Ed.),2005
"DEVELOPMENT, NGOs AND CIVIL SOCIETY ",0
SOCIAL WORK VALUES AND ETHICS (2nd Edition),Frederic G. Reamer,2005
ETHNICITY IN INDUSTRIAL ORGANIZATIONS: Case of Two Organizations in Mumbai,Ernesto Noronha,2005
EMIGRATION AND SOCIAL CHANGE: A Sociological Study of the Early Emigrants of Andamans,A.K. Joshi,2005
THE NO-NONSENSE GUIDE TO WOMENS RIGHTS,Nikki van der Gaag,2005
THE NO-NONSENSE GUIDE TO GLOBALIZATION,Wayne Ellwood,2005
THE NO-NONSENSE GUIDE TO WATER,Maggie Black,2005
THE NO-NONSENSE GUIDE TO WORLD POVERTY,Jeremy Seabrook,2005
"THE NO-NONSENSE GUIDE TO CLASS, CASTE AND HIERARCHIES",0
AIDS AND CIVIL SOCITY: India's Learning Curve,Radhika Ramasubban and Bhanwar Rishyasringa (Eds.),2005
"RELIGION, IDENTITY AND NATIONHOOD: The Sikh Militant Movement",0
HINDU APPROACH TO INDIAN ECONOMY: Global Challenges & Opportunities,Bharat Jhunjhunwala,2005
INFORMATION TECHNOLOGY AND ECONOMIC GROWTH: Study of Leading States in India,R.G. Desai,2005
MODERNIZING WOMEN: Searching Their Identities,Kali Nath Jha,2005
EMPOWERMENT AND POVERTY REDUCTION: A Sourcebook,Deepa Narayan (Ed.),2005
SOCIAL SECTOR IN INDIA: Changing Paradigms in Uttar Pradesh,S.K. Pant (Ed.),2005
"CLASS, CONFLICT,0
MIGRATION AND SOCIETY: A Study of Displaced Kashmiri Pandits,Ravender Kumar Kaul,2005
SAMAJSHASTRA KA BHARTIYAKARAN (Indianization of Sociology) (Hindi) ,Ashok Kumar Kaul,2005
FROM POST-INDUSTRIAL TO POST-MODERN SOCIETY (Second Edition) ,Krishan Kumar ,2005
"THE POSTMODERN CONTROVERSY: Understanding Richard Rorty, Jacques Derrida and Jurgen Habermas",0
E-GOVERNANCE: A Change Management Tool,P. Panneervel,2005
TRIBAL LAW IN INDIA,G.S. Narwani,2004
THE SOCIOLOGY OF GENDER: A Brief Introduction,Laura Kramer,2004
GLOBALIZATION: The New Market Ideology,Manfred B. Steger,2004
"STATES, MARKETS,0
NGOs AND DEVELOPMENT: The Indian Scenario,"S.N. Pawar,0
"CRIMINOLOGICAL THEORIES: Introduction, Evaluation,0
"DEVELOPMENT, DISPLACEMENT AND RESETTLEMENT ",0
"LAW, STATE AND SOCIETY: Indian Context",0
REINVENTING REGIONAL DEVELOPMENT: Festschrift to Honour Gopal Krishan,"Surya Kant,0
VISIONS OF POVERTY: Welfare Policy and Political Imagination,Robert Asen,2004
"POVERTY, FOOD SECURITY AND SUSTAINABILITY: Public Distribution System in India",0
GRAMIN SAMAJ MEIN NIYOJIT SAMAJIK PARIVARTAN (Planned Social Change in Rural India) (Hindi) ,Om Prakash Sharma,2004
IDEOLOGY & THEORY IN INDIAN SOCIOLOGY ,Yogendra Singh,2004
IDEOLOGY & THEORY IN INDIAN SOCIOLOGY ,Yogendra Singh,2004
THE SOCIOLOGICAL TRADITION ,Robert A. Nisbet,2004
"CASTE, RACE AND DISCRIMINATION: Discourses in International Context",0
A HISTORY OF SOCIOLOGICAL ANALYSIS ,Tom Bottomore and Robert Nisbet (Eds),2004
INDIAN SOCIOLOGY FROM WHERE TO WHERE: Footnotes to the History of the Discipline,Yogesh Atal,2003
LIBERALISATION AND URBAN SOCIAL SERVICES: Health and Education,C.N. Ray,2003
COMMUNICATING RURAL DEVELOPMENT: Strategies and Alternatives,Rashmi Jain,2003
INVOLUNTARY MIGRATION: Evidence from Sardar Sarovar Project,D.C. Sah,2003
CASTE AND RACE: Comparative Study of BR Ambedkar and Martin Luther King ,Mohan Dass Namishray,2003
SHAKTI: Multidisciplinary Perspectives on Women,Ranjana Harish and Bharathi Harishankar (Eds.),2003
INSTITUTIONS AND SOCIAL CHANGE ,Surjit Singh and Varsha Joshi (Eds.),2003
"ACHIEVING BROAD-BASED SUSTAINABLE DEVELOPMENT: Governance, Environment and Growth with Equity",0
DEVELOPMENT-INDUCED DISPLACEMENT: Case of Kerala,"Jose Murickan,0
SOCIAL DEVELOPMENT: Challenges Faced in an Unequal and Plural Society,M.S. Gore,2003
FEMINISM IN SEARCH OF AN IDENTITY: The Indian Context,Meena Kelkar and Deepti Gangavane (eds),2003
MANAVSHASTRIYA VICHARAK (Anthropological Thinkers) (Hindi) ,Harikrishna Rawat,2003
MANAVSHASTRIYA VICHARAK (Anthropological Thinkers) (Hindi) ,Harikrishna Rawat,2003
"MODERNITY, POSTMODERNITY AND NEO-SOCIOLOGICAL THEORIES ",0
"MODERNITY, POSTMODERNITY AND NEO-SOCIOLOGICAL THEORIES ",0
RADICAL GEOGRAPHY: Alternative Viewpoints On Contemporary Social Issues,Richard Peet,2003
DWARKAPRASAD MISHRA KA BHARTIYA RAJNITI ME YOGDAN (DP Mishras Contribution to Indian Politics) (Hindi) ,Rajni Tiwari,2002
HUMAN DIMENSIONS OF SUSTAINABLE DEVELOPMENT ,R.B. Singh (Ed.),2002
THE POVERTY QUESTION: Search for Solutions,Yogesh Atal,2002
MARKETING AND SUSTAINABLE DEVELOPMENT ,Pooja Saxena,2002
AUTONOMY MOVEMENTS AND FEDERAL INDIA ,Bhupinder Singh,2002
"LEISURE, FAMILY AND LIFESTYLE: Unemployed Young People",0
PANCHAYAT RAJ IN INDIA: Emerging Trends Across the States,R.P. JOSHI & G.S. NARWANI,2002
"CULTURE, COMMUNITIES AND CHANGE",0
"WOMEN, LAW AND PUBLIC OPINION ",0
SOCIAL CHANGE IN POST-INDEPENDENCE INDIA ,A.K. Lal and S. Sami Ahmad ,2001
SOCIAL STRUCTURE AND FERTILITY BEHAVIOUR ,Satish K. Sharma and Niranjna ,2001
ETHNOGRAPHY OF A TRIBE: Study of Anwals of Uttarakhand Himalaya,B.S. Bisht ,2001
DEVELOPMENT AND DISPARITIES: Experiences from Southern India ,Kalipada Deb ,2001
"GENDER COMPOSITION: Values, Preferences and Behaviour ",0
RETHINKING SOCIAL TRANSFORMATION: Criticism and Creativity at the Turn of the Millennium  ,Ananta Kumar Giri (Ed.),2001
THE SADHUS OF INDIA: A Study of Hindu Asceticism,Robert Lewis Gross ,2001
SOCIAL ANTHROPOLOGY,S.L. Doshi and P.C. Jain,2001
SOCIAL ANTHROPOLOGY,S.L. Doshi and P.C. Jain,2001
RESEARCH METHODS ,Ram Ahuja,2001
RESEARCH METHODS ,Ram Ahuja,2001
"RECONCEPTUALISING CASTE, CLASS AND TRIBE",0
CULTURAL FACTORS IN RURAL DEVELOPMENT,Dilip Shah and Syed Rahim ,2000
DIVORCE AND MUSLIM WOMEN,S.A.H. Moinuddin,2000
ETHNOGRAPHY AND PERSONHOOD: Notes from the Field,Michael W. Meister (ed.),2000
WOMEN IN DISTRESS ,Neela Dabir,2000
HUMAN VALUES & SOCIAL CHANGE,Ishwar Modi (Ed.),2000
FOLK RELIGION: Change and Continuity,H S Bhatti ,2000
TECHNOLOGY AND RURAL DEVELOPMENT: Need for Organisational Renewal,Ch. Bala Ramulu ,2000
BHARTIYA RAJNITIK VYAVASTHA  (INDIAN POLITICAL SYSTEM) - Hindi,R.P. Joshi and R.S Adha (ed.),2000
CULTURE CHANGE IN INDIA: Identity & Globalization,Yogendra Singh ,2000
CULTURE CHANGE IN INDIA: Identity & Globalization,Yogendra Singh ,2000
NAGARIYATA KA SAMBODH (Understanding Urbanization) (Hindi) ,Sudhakar Prasad Tiwari,1999
SOCIAL CHANGE THROUGH LAND REFORMS,Paramjit S. Judge,1999
SRAMIK SAHABHAGITA AVAM AUDHYOGIK SAMBANDH (Workers Participation in Management and Industrial Relations) - Hindi,Dilip Kumar Singh,1999
VARNA VYAVASTHA: Governance through Caste System,Bharat Jhunjhunwala ,1999
PROTECTIVE DISCRIMINATION POLICY AND SOCIAL CHANGE: An analytical Study of State Action on Scheduled castes in Aurangabad City,Shankar L. Gaikwad,1999
"DRUG CULTURE IN INDIA: A Street Ethnographic Study of Heroin Addiction in Bombay 
","Molly Charles,0
"SOCIAL INEQUALITY IN INDIA: Profiles of Caste, Class & Social Mobility (Second Edition)",0
ETHNIC IDENTITY AND SOCIAL MOBILITY,Anjali Kurane,1999
"SOCIETY IN INDIA: Concepts, Theories and Recent Trends",0
POWER ELITE IN INDIAN SOCIETY: Study of the Shekhawati Region in Rajasthan,Rajendra Sharma ,1999
MILITARY SOCIOLOGY: Global Perspectives,Leena Parmar (Ed.) ,1999
"SOCIAL INEQUALITY IN INDIA: Profiles of Caste, Class & Social Mobility (Second Edition)",0
RURAL SOCIOLOGY ,S.L. Doshi and P.C. Jain,1999
RURAL SOCIOLOGY ,S.L. Doshi and P.C. Jain,1999
SOCIAL GEOGRAPHY ,Aijazuddin Ahmad,1999
"SOCIETY IN INDIA: Concepts, Theories and Recent Trends",0
GLOBAL TRANSFORMATIONS: Postmodernity and Beyond ,Ananta K. Giri ,1998
VISUALLY HANDICAPPED CHILDREN: Study of their Psychological Characteristics and Academic Achievement,S. Ishtiaq Haider,1998
