Title,Author,Year
CULTURE  reinventing the social sciences,Mark J. Smith,2019
TRIBAL RELIGION: Continuity and Change among the Tangkhul Naga,Rimai Joy,2019
A HISTORY OF ANTHROPOLOGY (Second Edition),Thomas Hylland Eriksen and Finn Sivert Nielsen,2019
WHAT IS ANTHROPOLOGY? (Second Edition),Thomas Hylland Eriksen,2019
SOCIAL MOBILITY IN THE CASTE SYSTEM IN INDIA: An Interdisciplinary Symposium,James Silverberg (Ed.),2019
"CULTURES, IDENTITIES,0
REVISITING TRIBAL STUDIES: A Glimpse After Hundred Years,M.C. Behera (ed.),2018
ANTHROPOLOGY AND DEVELOPMENT: Understanding Contemporary Social Change,Jean-Pierre Olivier de Sardan,2018
THE LITTLE COMMUNITY AND PEASANT SOCIETY AND CULTURE,Robert Redfield,2018
TRADITIONAL INDIA: Structure and Change,Milton Singer (ed.),2018
HISTORY OF CASTE IN INDIA: Evidence of the Laws of Manu of the Social Conditions in India during the Third Century A.D.,S.V. Ketkar,2018
"TRIBES, CASTES AND DEVELOPMENT: Scenario in Three Villages of Madhya Pradesh",0
SOCIETY AND CULTURE IN INDIA: Their Dynamics through the Ages,"Indra Deva,0
EDUCATING EX-CRIMINAL TRIBES: Issues and Concerns,Malli Gandhi ,2017
RETHINKING TRIBE IN INDIAN CONTEXT: Realities Issues & Challenges ,Bidhan Kanti Das and Rajat Kanti Das (eds),2017
MANAGEMENT CULTURE IN INDIA: An Ethnographic Study,  M. Romesh Singh,2017
"CASTE, TRIBE AND GENDER: Politics of Self and the Other ",0
TRIBAL LAND QUESTION: Case of Andhra Pradesh,Palla Trinadha Rao ,2017
ANTHROPOLOGY AND HUMAN RIGHTS,Buddhadeb Chaudhuri and Subir Biswas (eds),2017
"MODERNITY, ETHNICITY AND DEVELOPMENT",0
"MIGRATION, IDENTITY AND CONFLICT: Lived Experience of Northeasterners in Delhi",0
STRATIFICATION AND SOCIAL CHANGE AMONG TRIBALS: An Anthropological Study among the Sherdukpens of Arunachal Pradesh,Rinchin Megejee,2017
TRIBAL SITUATION IN INDIA: Issues and Development (Second Revised Edition),Vidyut Joshi and Chandrakant Upadhyaya (eds),2017
GENDER IMPLICATIONS OF TRIBAL CUSTOMARY LAW: The Case of North-East India,"Melvil Pereira,0
THE VITALITY OF INDIA: A Regional Perspective,Gopal Krishan,2017
"CITIZENSHIP, NATIONALITY AND ETHNICITY: Reconciling Competing Identities",0
THE BACKGROUND TO CONTEMPORARY CRITICAL THEORY: From Kant to Levi Strauss,Jon Simons (ed.),2017
VILLAGE INDIA: Studies in the Little Community ,McKim Marriott (ed.),2017
TRIBAL STUDIES AND BEYOND: Contributions of D.N. Majumdar to Indian Anthropology,H.S Saksena,2017
INDIAN SOCIETY AND CULTURE,Vinita Pandey,2016
INDIAN SOCIETY AND CULTURE,Vinita Pandey,2016
MAX WEBER: An Intellectual Portrait ,Reinhard Bendix,2016
RESEARCH METHODS FOR CULTURAL STUDIES ,Michael Pickering (ed),2016
THE HINDU FAMILY IN ITS URBAN SETTING,Aileen D. Ross,2015
THEORIES OF MULTICULTURALISM: An Introduction,George Crowder,2015
DEVELOPMENT AND DISCONTENT IN TRIBAL INDIA,Yatindra Singh Sisodia and Tapas Kumar Dalapati (Eds) ,2015
IMAGINED COMMUNITIES: Reflections on the Origin and Spread of Nationalism,Benedict Anderson,2015
STRUCTURE & CHANGE IN INDIAN SOCIETY,"Milton Singer,0
"CASTE, MARRIAGE AND INEQUALITY: Studies from North and South India",0
MODERNITY AND ETHNIC PROCESSES IN INDIA,D.V. Kumar (Ed.),2014
"AN INTRODUCTION TO SOCIAL AND CULTURAL ANTHROPOLOGY: Small Places, Large Issues",0
ANTHROPOLOGY & HEALTH ISSUES,"Buddhadeb Chaudhuri,0
"RESOURCES, TRIBES AND DEVELOPMENT: Competing Interests and Contours of Possibilities",0
GENDERING MATERIAL CULTURE: Representations and Practice  ,Subhadra Mitra Channa Kamal K. Misra (Eds),2013
TRIBALS AND COMMUNITY FOREST MANAGEMENT,Madhusudan Bandi ,2013
"EXCLUSION, DISCRIMINATION AND STRATIFICATION : Tribes in Contemporary India",0
CROSS-CULTURAL RESEARCH METHODS ,Carol R. Ember and Melvin Ember ,2013
"GLOBALIZATION, NATIONAL DEVELOPMENT AND TRIBAL IDENTITY ",0
EXPLORATIONS IN CULTURAL ANTHROPOLOGY ,Colleen E. Boyd and Luke Eric Lassiter (eds.),2012
STUDIES IN SOCIAL AND PHYSICAL ANTHROPOLOGY ,Gopala Sarana and R.P. Srivastava (Eds.),2012
INTEGRAL ANTHROPOLOGY: Selected Anthropological Writings of J.V. Ferreira,Bernd Pflug and S.M. Michael (Eds.),2012
SOCIETY AND CULTURE: S.P. NAGENDRA,C. Lakshmanna and Jugendra Sahai (Eds.),2012
BIO-CULTURAL DEVELOPMENT OF SCHEDULED TRIBES: Policies and Issues,"P.K. Misra,0
WHAT IS CULTURAL STUDIES: A Reader,John Storey (ed.),2012
THE RISE OF ANTHROPOLOGICAL THEORY: A History of Theories of Culture (Updated Edition),Marvin Harris,2011
"POLLUTION, UNTOUCHABILITY AND HARIJANS ",0
"CULTURE, STRATIFICATION AND DEVELOPMENT ",0
AN INTRODUCTION TO ANTHROPOLOGICAL THEORIES AND THEORISTS (3rd edition),Jerry D. Moore,2011
"KASHMIR: CONTESTED IDENTITY: Closed Systems, Open Choices",0
THE ANTHROPOLOGY OF GLOBALIZATION: Cultural Anthropology Enters the 21st Century,Ted C. Lewellen,2010
"CULT, RELIGION AND SOCIETY: Polyandrous People of Western Himalaya",0
I. P. DESAI: A Pioneering Indian Sociologist,Ragini P. Shah,2010
TRIBAL ECONOMY AT CROSSROADS ,S.N. Chaudhary (Ed.),2010
ETHNOGRAPHY ,John D. Brewer,2010
KEY ISSUES IN CRITICAL & CULTURAL THEORY ,Kate McGowan,2009
"DIVERSITY, ETHNICITY AND IDENTITY IN SOUTH ASIA ",0
TRIBALS AND MODERN AGRICULTURE: Dynamics of Fertiliser Use in Madhya Pradesh,D.C. Sah,2009
THEORY & PRACTICE OF ETHNOGRAPHY: Readings from the Periphery,Eswarappa Kasi and Ramesh C. Malik (Eds.),2009
INDIGENOUS SCIENCE & TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT ,V. Subramanyam (Ed.),2008
RESEARCH METHODS IN ANTHROPOLOGY: Qualitative and Quantitative Approaches (4th Edition),H. Russell Bernard,2008
